point,record_offset,type_marker,effective_voltage_uv,effective_freq_mhz,base_freq_fixed_16_16,base_freq_mhz,source_voltage_uv,effective_freq_dup_mhz,effective_voltage_dup_uv,freq_tuning_offset_khz,voltage_tuning_offset_uv
0,19520,4369,450000,225,11796480,180,450000,225,450000,45000,0
1,19672,4369,460000,315,17694720,270,460000,315,460000,45000,0
2,19824,4369,465000,345,19660800,300,465000,345,465000,45000,0
3,19976,4369,470000,375,21626880,330,470000,375,470000,45000,0
4,20128,4369,475000,397,23068672,352,475000,397,475000,45000,0
5,20280,4369,485000,427,25034752,382,485000,427,485000,45000,0
6,20432,4369,490000,457,27000832,412,490000,457,490000,45000,0
7,20584,4369,495000,487,28966912,442,495000,487,495000,45000,0
8,20736,4369,500000,517,30932992,472,500000,517,500000,45000,0
9,20888,4369,510000,547,32899072,502,510000,547,510000,45000,0
10,21040,4369,515000,577,34865152,532,515000,577,515000,45000,0
11,21192,4369,520000,607,36831232,562,520000,607,520000,45000,0
12,21344,4369,525000,637,38797312,592,525000,637,525000,45000,0
13,21496,4369,535000,660,40304640,615,535000,660,535000,45000,0
14,21648,4369,540000,690,42270720,645,540000,690,540000,45000,0
15,21800,4369,545000,720,44236800,675,545000,720,545000,45000,0
16,21952,4369,550000,750,46202880,705,550000,750,550000,45000,0
17,22104,4369,560000,780,48168960,735,560000,780,560000,45000,0
18,22256,4369,565000,802,49610752,757,565000,802,565000,45000,0
19,22408,4369,570000,832,51576832,787,570000,832,570000,45000,0
20,22560,4369,575000,862,53542912,817,575000,862,575000,45000,0
21,22712,4369,585000,892,55508992,847,585000,892,585000,45000,0
22,22864,4369,590000,922,57475072,877,590000,922,590000,45000,0
23,23016,4369,595000,945,58982400,900,595000,945,595000,45000,0
24,23168,4369,600000,975,60948480,930,600000,975,600000,45000,0
25,23320,4369,610000,1005,62914560,960,610000,1005,610000,45000,0
26,23472,4369,615000,1027,64356352,982,615000,1027,615000,45000,0
27,23624,4369,620000,1057,66322432,1012,620000,1057,620000,45000,0
28,23776,4369,625000,1087,68288512,1042,625000,1087,625000,45000,0
29,23928,4369,635000,1110,69795840,1065,635000,1110,635000,45000,0
30,24080,4369,640000,1140,71761920,1095,640000,1140,640000,45000,0
