point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,0,17,0,4369,450000,451000,11796480,225,225,451000,45000,1000
1,1,17,0,4369,460000,461000,11796480,225,225,461000,45000,1000
2,2,17,0,4369,465000,466000,11796480,225,225,466000,45000,1000
3,3,17,0,4369,470000,471000,11796480,225,225,471000,45000,1000
4,4,17,0,4369,475000,476000,11796480,225,225,476000,45000,1000
5,5,17,0,4369,485000,486000,11796480,225,225,486000,45000,1000
6,6,17,0,4369,490000,491000,11796480,225,225,491000,45000,1000
7,7,17,0,4369,495000,496000,11796480,225,225,496000,45000,1000
8,8,17,0,4369,500000,501000,11796480,225,225,501000,45000,1000
9,9,17,0,4369,510000,511000,11796480,225,225,511000,45000,1000
10,10,17,0,4369,515000,516000,11796480,225,225,516000,45000,1000
11,11,17,0,4369,520000,521000,11796480,225,225,521000,45000,1000
12,12,17,0,4369,525000,526000,11796480,225,225,526000,45000,1000
13,13,17,0,4369,535000,536000,11796480,225,225,536000,45000,1000
14,14,17,0,4369,540000,541000,11796480,225,225,541000,45000,1000
15,15,17,0,4369,545000,546000,11796480,225,225,546000,45000,1000
16,16,17,0,4369,550000,551000,11796480,225,225,551000,45000,1000
17,17,17,0,4369,560000,561000,11796480,225,225,561000,45000,1000
18,18,17,0,4369,565000,566000,11796480,225,225,566000,45000,1000
19,19,17,0,4369,570000,571000,11796480,225,225,571000,45000,1000
20,20,17,0,4369,575000,576000,11796480,225,225,576000,45000,1000
21,21,17,0,4369,585000,586000,11796480,225,225,586000,45000,1000
22,22,17,0,4369,590000,591000,11796480,225,225,591000,45000,1000
23,23,17,0,4369,595000,596000,11796480,225,225,596000,45000,1000
24,24,17,0,4369,600000,601000,11796480,225,225,601000,45000,1000
25,25,17,0,4369,610000,611000,11796480,225,225,611000,45000,1000
26,26,17,0,4369,615000,616000,11796480,225,225,616000,45000,1000
27,27,17,0,4369,620000,621000,11796480,225,225,621000,45000,1000
28,28,17,0,4369,625000,626000,11796480,225,225,626000,45000,1000
29,29,17,0,4369,635000,636000,11796480,225,225,636000,45000,1000
30,30,17,0,4369,640000,641000,11796480,225,225,641000,45000,1000
31,31,17,0,4369,645000,646000,11796480,225,225,646000,45000,1000
32,32,17,0,4369,650000,651000,11796480,225,225,651000,45000,1000
33,33,17,0,4369,660000,661000,11796480,225,225,661000,45000,1000
34,34,17,0,4369,665000,666000,11796480,225,225,666000,45000,1000
35,35,17,0,4369,670000,671000,11796480,225,225,671000,45000,1000
