point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,386,17,0,4369,450000,450000,11796480,180,180,450000,0,0
1,387,17,0,4369,460000,460000,11796480,180,180,460000,0,0
2,388,17,0,4369,465000,465000,14221312,217,217,465000,0,0
3,389,17,0,4369,470000,470000,16187392,247,247,470000,0,0
4,390,17,0,4369,475000,475000,18677760,285,285,475000,0,0
5,391,17,0,4369,485000,485000,21102592,322,322,485000,0,0
6,392,17,0,4369,490000,490000,23068672,352,352,490000,0,0
7,393,17,0,4369,495000,495000,25559040,390,390,495000,0,0
8,394,17,0,4369,500000,500000,27525120,420,420,500000,0,0
9,395,17,0,4369,510000,510000,29949952,457,457,510000,0,0
10,396,17,0,4369,515000,515000,31916032,487,487,515000,0,0
11,397,17,0,4369,520000,520000,33882112,517,517,520000,0,0
12,398,17,0,4369,525000,525000,36372480,555,555,525000,0,0
13,399,17,0,4369,535000,535000,38338560,585,585,535000,0,0
14,400,17,0,4369,540000,540000,40304640,615,615,540000,0,0
15,401,17,0,4369,545000,545000,42270720,645,645,545000,0,0
16,402,17,0,4369,550000,550000,43712512,667,667,550000,0,0
17,403,17,0,4369,560000,560000,45678592,697,697,560000,0,0
18,404,17,0,4369,565000,565000,47644672,727,727,565000,0,0
19,405,17,0,4369,570000,570000,49152000,750,750,570000,0,0
20,406,17,0,4369,575000,575000,51118080,780,780,575000,0,0
21,407,17,0,4369,585000,585000,53084160,810,810,585000,0,0
22,408,17,0,4369,590000,590000,54525952,832,832,590000,0,0
23,409,17,0,4369,595000,595000,56492032,862,862,595000,0,0
24,410,17,0,4369,600000,600000,58458112,892,892,600000,0,0
25,411,17,0,4369,610000,610000,59965440,915,915,610000,0,0
26,412,17,0,4369,615000,615000,61931520,945,945,615000,0,0
27,413,17,0,4369,620000,620000,63897600,975,975,620000,0,0
28,414,17,0,4369,625000,625000,65863680,1005,1005,625000,0,0
29,415,17,0,4369,635000,635000,67829760,1035,1035,635000,0,0
30,416,17,0,4369,640000,640000,69271552,1057,1057,640000,0,0
31,417,17,0,4369,645000,645000,71237632,1087,1087,645000,0,0
32,418,17,0,4369,650000,650000,73203712,1117,1117,650000,0,0
33,419,17,0,4369,660000,660000,75169792,1147,1147,660000,0,0
34,420,17,0,4369,665000,665000,77135872,1177,1177,665000,0,0
35,421,17,0,4369,670000,670000,79101952,1207,1207,670000,0,0
36,422,17,0,4369,675000,675000,81068032,1237,1237,675000,0,0
37,423,17,0,4369,685000,685000,83034112,1267,1267,685000,0,0
38,424,17,0,4369,690000,690000,85000192,1297,1297,690000,0,0
39,425,17,0,4369,695000,695000,86966272,1327,1327,695000,0,0
40,426,17,0,4369,700000,700000,88932352,1357,1357,700000,0,0
41,427,17,0,4369,710000,710000,90439680,1380,1380,710000,0,0
42,428,17,0,4369,715000,715000,91881472,1402,1402,715000,0,0
43,429,17,0,4369,720000,720000,93388800,1425,1425,720000,0,0
44,430,17,0,4369,725000,725000,94830592,1447,1447,725000,0,0
45,431,17,0,4369,735000,735000,96337920,1470,1470,735000,0,0
46,432,17,0,4369,740000,740000,97779712,1492,1492,740000,0,0
47,433,17,0,4369,745000,745000,99287040,1515,1515,745000,0,0
48,434,17,0,4369,750000,750000,99287040,1515,1515,750000,0,0
49,435,17,0,4369,760000,760000,100728832,1537,1537,760000,0,0
50,436,17,0,4369,765000,765000,102694912,1567,1567,765000,0,0
51,437,17,0,4369,770000,770000,104202240,1590,1590,770000,0,0
52,438,17,0,4369,775000,775000,105644032,1612,1612,775000,0,0
53,439,17,0,4369,785000,785000,107151360,1635,1635,785000,0,0
54,440,17,0,4369,790000,790000,108593152,1657,1657,790000,0,0
55,441,17,0,4369,795000,795000,110559232,1687,1687,795000,0,0
56,442,17,0,4369,800000,800000,112066560,1710,1710,800000,0,0
57,443,17,0,4369,810000,810000,113508352,1732,1732,810000,0,0
58,444,17,0,4369,815000,815000,115015680,1755,1755,815000,0,0
59,445,17,0,4369,820000,820000,116457472,1777,1777,820000,0,0
60,446,17,0,4369,825000,825000,117964800,1800,1800,825000,0,0
61,447,17,0,4369,835000,835000,119406592,1822,1822,835000,0,0
62,448,17,0,4369,840000,840000,120913920,1845,1845,840000,0,0
63,449,17,0,4369,845000,845000,122355712,1867,1867,845000,0,0
64,450,17,0,4369,850000,850000,123863040,1890,1890,850000,0,0
65,451,17,0,4369,860000,860000,125304832,1912,1912,860000,0,0
66,452,17,0,4369,865000,865000,126287872,1927,1927,865000,0,0
67,453,17,0,4369,870000,870000,127795200,1950,1950,870000,0,0
68,454,17,0,4369,875000,875000,129236992,1972,1972,875000,0,0
69,455,17,0,4369,885000,885000,130220032,1987,1987,885000,0,0
70,456,17,0,4369,890000,890000,131727360,2010,2010,890000,0,0
71,457,17,0,4369,895000,895000,133169152,2032,2032,895000,0,0
72,458,17,0,4369,900000,900000,134152192,2047,2047,900000,0,0
73,459,17,0,4369,910000,910000,135659520,2070,2070,910000,0,0
74,460,17,0,4369,915000,915000,136642560,2085,2085,915000,0,0
75,461,17,0,4369,920000,920000,138084352,2107,2107,920000,0,0
76,462,17,0,4369,925000,925000,139067392,2122,2122,925000,0,0
77,463,17,0,4369,935000,935000,140574720,2145,2145,935000,0,0
78,464,17,0,4369,940000,940000,141557760,2160,2160,940000,0,0
79,465,17,0,4369,945000,945000,142540800,2175,2175,945000,0,0
80,466,17,0,4369,950000,950000,143982592,2197,2197,950000,0,0
81,467,17,0,4369,960000,960000,144965632,2212,2212,960000,0,0
82,468,17,0,4369,965000,965000,145948672,2227,2227,965000,0,0
83,469,17,0,4369,970000,970000,146931712,2242,2242,970000,0,0
84,470,17,0,4369,975000,975000,147914752,2257,2257,975000,0,0
85,471,17,0,4369,985000,985000,149422080,2280,2280,985000,0,0
86,472,17,0,4369,990000,990000,150405120,2295,2295,990000,0,0
87,473,17,0,4369,995000,995000,151388160,2310,2310,995000,0,0
88,474,17,0,4369,1000000,1000000,151846912,2317,2317,1000000,0,0
89,475,17,0,4369,1010000,1010000,152829952,2332,2332,1010000,0,0
90,476,17,0,4369,1015000,1015000,153812992,2347,2347,1015000,0,0
91,477,17,0,4369,1020000,1020000,154796032,2362,2362,1020000,0,0
92,478,17,0,4369,1025000,1025000,155779072,2377,2377,1025000,0,0
93,479,17,0,4369,1035000,1035000,156762112,2392,2392,1035000,0,0
94,480,17,0,4369,1040000,1040000,157286400,2400,2400,1040000,0,0
95,481,17,0,4369,1045000,1045000,158269440,2415,2415,1045000,0,0
96,482,17,0,4369,1050000,1050000,159252480,2430,2430,1050000,0,0
97,483,17,0,4369,1060000,1060000,160235520,2445,2445,1060000,0,0
98,484,17,0,4369,1065000,1065000,160694272,2452,2452,1065000,0,0
99,485,17,0,4369,1070000,1070000,161677312,2467,2467,1070000,0,0
100,486,17,0,4369,1075000,1075000,162660352,2482,2482,1075000,0,0
101,487,17,0,4369,1085000,1085000,163184640,2490,2490,1085000,0,0
102,488,17,0,4369,1090000,1090000,164167680,2505,2505,1090000,0,0
103,489,17,0,4369,1095000,1095000,164626432,2512,2512,1095000,0,0
104,490,17,0,4369,1100000,1100000,165609472,2527,2527,1100000,0,0
105,491,17,0,4369,1110000,1110000,166133760,2535,2535,1110000,0,0
106,492,17,0,4369,1115000,1115000,167116800,2550,2550,1115000,0,0
107,493,17,0,4369,1120000,1120000,167575552,2557,2557,1120000,0,0
108,494,17,0,4369,1125000,1125000,168099840,2565,2565,1125000,0,0
109,495,17,0,4369,1135000,1135000,169082880,2580,2580,1135000,0,0
110,496,17,0,4369,1140000,1140000,169541632,2587,2587,1140000,0,0
111,497,17,0,4369,1145000,1145000,170065920,2595,2595,1145000,0,0
112,498,17,0,4369,1150000,1150000,171048960,2610,2610,1150000,0,0
113,499,17,0,4369,1160000,1160000,171507712,2617,2617,1160000,0,0
114,500,17,0,4369,1165000,1165000,172032000,2625,2625,1165000,0,0
115,501,17,0,4369,1170000,1170000,172490752,2632,2632,1170000,0,0
116,502,17,0,4369,1175000,1175000,173015040,2640,2640,1175000,0,0
117,503,17,0,4369,1185000,1185000,173473792,2647,2647,1185000,0,0
118,504,17,0,4369,1190000,1190000,174456832,2662,2662,1190000,0,0
119,505,17,0,4369,1195000,1195000,174456832,2662,2662,1195000,0,0
120,506,17,0,4369,1200000,1200000,175439872,2677,2677,1200000,0,0
121,507,17,0,4369,1210000,1210000,175964160,2685,2685,1210000,0,0
122,508,17,0,4369,1215000,1215000,176422912,2692,2692,1215000,0,0
123,509,17,0,4369,1220000,1220000,176422912,2692,2692,1220000,0,0
124,510,17,0,4369,1225000,1225000,176947200,2700,2700,1225000,0,0
125,511,17,0,4369,1235000,1235000,177405952,2707,2707,1235000,0,0
126,512,17,0,4369,1240000,1240000,177930240,2715,2715,1240000,0,0
