point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,127,17,0,4369,450000,450000,11796480,225,225,450000,45000,0
1,128,17,0,4369,460000,460000,17694720,315,315,460000,45000,0
2,129,17,0,4369,465000,465000,19660800,345,345,465000,45000,0
3,130,17,0,4369,470000,470000,21626880,375,375,470000,45000,0
4,131,17,0,4369,475000,475000,23068672,397,397,475000,45000,0
5,132,17,0,4369,485000,485000,25034752,427,427,485000,45000,0
6,133,17,0,4369,490000,490000,27000832,457,457,490000,45000,0
7,134,17,0,4369,495000,495000,28966912,487,487,495000,45000,0
8,135,17,0,4369,500000,500000,30932992,517,517,500000,45000,0
9,136,17,0,4369,510000,510000,32899072,547,547,510000,45000,0
10,137,17,0,4369,515000,515000,34865152,577,577,515000,45000,0
11,138,17,0,4369,520000,520000,36831232,607,607,520000,45000,0
12,139,17,0,4369,525000,525000,38797312,637,637,525000,45000,0
13,140,17,0,4369,535000,535000,40304640,660,660,535000,45000,0
14,141,17,0,4369,540000,540000,42270720,690,690,540000,45000,0
15,142,17,0,4369,545000,545000,44236800,720,720,545000,45000,0
16,143,17,0,4369,550000,550000,46202880,750,750,550000,45000,0
17,144,17,0,4369,560000,560000,48168960,780,780,560000,45000,0
18,145,17,0,4369,565000,565000,49610752,802,802,565000,45000,0
19,146,17,0,4369,570000,570000,51576832,832,832,570000,45000,0
20,147,17,0,4369,575000,575000,53542912,862,862,575000,45000,0
21,148,17,0,4369,585000,585000,55508992,892,892,585000,45000,0
22,149,17,0,4369,590000,590000,57475072,922,922,590000,45000,0
23,150,17,0,4369,595000,595000,58982400,945,945,595000,45000,0
24,151,17,0,4369,600000,600000,60948480,975,975,600000,45000,0
25,152,17,0,4369,610000,610000,62914560,1005,1005,610000,45000,0
26,153,17,0,4369,615000,615000,64356352,1027,1027,615000,45000,0
27,154,17,0,4369,620000,620000,66322432,1057,1057,620000,45000,0
28,155,17,0,4369,625000,625000,68288512,1087,1087,625000,45000,0
29,156,17,0,4369,635000,635000,69795840,1110,1110,635000,45000,0
30,157,17,0,4369,640000,640000,71761920,1140,1140,640000,45000,0
31,158,17,0,4369,645000,645000,73728000,1170,1170,645000,45000,0
32,159,17,0,4369,650000,650000,75169792,1192,1192,650000,45000,0
33,160,17,0,4369,660000,660000,77135872,1222,1222,660000,45000,0
34,161,17,0,4369,665000,665000,78643200,1245,1245,665000,45000,0
35,162,17,0,4369,670000,670000,80609280,1275,1275,670000,45000,0
36,163,17,0,4369,675000,675000,82051072,1297,1297,675000,45000,0
37,164,17,0,4369,685000,685000,84017152,1327,1327,685000,45000,0
38,165,17,0,4369,690000,690000,85524480,1350,1350,690000,45000,0
39,166,17,0,4369,695000,695000,87490560,1380,1380,695000,45000,0
40,167,17,0,4369,700000,700000,88932352,1402,1402,700000,45000,0
41,168,17,0,4369,710000,710000,90898432,1432,1432,710000,45000,0
42,169,17,0,4369,715000,715000,92405760,1455,1455,715000,45000,0
43,170,17,0,4369,720000,720000,94371840,1485,1485,720000,45000,0
44,171,17,0,4369,725000,725000,95813632,1507,1507,725000,45000,0
45,172,17,0,4369,735000,735000,97320960,1530,1530,735000,45000,0
46,173,17,0,4369,740000,740000,99287040,1560,1560,740000,45000,0
47,174,17,0,4369,745000,745000,100728832,1582,1582,745000,45000,0
48,175,17,0,4369,750000,750000,103677952,1627,1627,750000,45000,0
49,176,17,0,4369,760000,760000,105185280,1650,1650,760000,45000,0
50,177,17,0,4369,765000,765000,107151360,1680,1680,765000,45000,0
51,178,17,0,4369,770000,770000,108593152,1702,1702,770000,45000,0
52,179,17,0,4369,775000,775000,110559232,1732,1732,775000,45000,0
53,180,17,0,4369,785000,785000,112066560,1755,1755,785000,45000,0
54,181,17,0,4369,790000,790000,113508352,1777,1777,790000,45000,0
55,182,17,0,4369,795000,795000,115474432,1807,1807,795000,45000,0
56,183,17,0,4369,800000,800000,116981760,1830,1830,800000,45000,0
57,184,17,0,4369,810000,810000,118423552,1852,1852,810000,45000,0
58,185,17,0,4369,815000,815000,119930880,1875,1875,815000,45000,0
59,186,17,0,4369,820000,820000,121372672,1897,1897,820000,45000,0
60,187,17,0,4369,825000,825000,122880000,1920,1920,825000,45000,0
61,188,17,0,4369,835000,835000,124321792,1942,1942,835000,45000,0
62,189,17,0,4369,840000,840000,125829120,1965,1965,840000,45000,0
63,190,17,0,4369,845000,845000,127270912,1987,1987,845000,45000,0
64,191,17,0,4369,850000,850000,128778240,2010,2010,850000,45000,0
65,192,17,0,4369,860000,860000,130220032,2032,2032,860000,45000,0
66,193,17,0,4369,865000,865000,131727360,2055,2055,865000,45000,0
67,194,17,0,4369,870000,870000,133169152,2077,2077,870000,45000,0
68,195,17,0,4369,875000,875000,134676480,2100,2100,875000,45000,0
69,196,17,0,4369,885000,885000,135659520,2115,2115,885000,45000,0
70,197,17,0,4369,890000,890000,137101312,2137,2137,890000,45000,0
71,198,17,0,4369,895000,895000,138608640,2160,2160,895000,45000,0
72,199,17,0,4369,900000,900000,139591680,2175,2175,900000,45000,0
73,200,17,0,4369,910000,910000,141033472,2197,2197,910000,45000,0
74,201,17,0,4369,915000,915000,142016512,2212,2212,915000,45000,0
75,202,17,0,4369,920000,920000,143523840,2235,2235,920000,45000,0
76,203,17,0,4369,925000,925000,144506880,2250,2250,925000,45000,0
77,204,17,0,4369,935000,935000,145948672,2272,2272,935000,45000,0
78,205,17,0,4369,940000,940000,146931712,2287,2287,940000,45000,0
79,206,17,0,4369,945000,945000,147914752,2302,2302,945000,45000,0
80,207,17,0,4369,950000,950000,149422080,2325,2325,950000,45000,0
81,208,17,0,4369,960000,960000,150405120,2340,2340,960000,45000,0
82,209,17,0,4369,965000,965000,151388160,2355,2355,965000,45000,0
83,210,17,0,4369,970000,970000,152371200,2370,2370,970000,45000,0
84,211,17,0,4369,975000,975000,153354240,2385,2385,975000,45000,0
85,212,17,0,4369,985000,985000,154337280,2400,2400,985000,45000,0
86,213,17,0,4369,990000,990000,155320320,2415,2415,990000,45000,0
87,214,17,0,4369,995000,995000,156303360,2430,2430,995000,45000,0
88,215,17,0,4369,1000000,1000000,157286400,2445,2445,1000000,45000,0
89,216,17,0,4369,1010000,1010000,158269440,2460,2460,1010000,45000,0
90,217,17,0,4369,1015000,1015000,159252480,2475,2475,1015000,45000,0
91,218,17,0,4369,1020000,1020000,159711232,2482,2482,1020000,45000,0
92,219,17,0,4369,1025000,1025000,160694272,2497,2497,1025000,45000,0
93,220,17,0,4369,1035000,1035000,161677312,2512,2512,1035000,45000,0
94,221,17,0,4369,1040000,1040000,162660352,2527,2527,1040000,45000,0
95,222,17,0,4369,1045000,1045000,163184640,2535,2535,1045000,45000,0
96,223,17,0,4369,1050000,1050000,164167680,2550,2550,1050000,45000,0
97,224,17,0,4369,1060000,1060000,165150720,2565,2565,1060000,45000,0
98,225,17,0,4369,1065000,1065000,165609472,2572,2572,1065000,45000,0
99,226,17,0,4369,1070000,1070000,166592512,2587,2587,1070000,45000,0
100,227,17,0,4369,1075000,1075000,167116800,2595,2595,1075000,45000,0
101,228,17,0,4369,1085000,1085000,168099840,2610,2610,1085000,45000,0
102,229,17,0,4369,1090000,1090000,168558592,2617,2617,1090000,45000,0
103,230,17,0,4369,1095000,1095000,169541632,2632,2632,1095000,45000,0
104,231,17,0,4369,1100000,1100000,170065920,2640,2640,1100000,45000,0
105,232,17,0,4369,1110000,1110000,171048960,2655,2655,1110000,45000,0
106,233,17,0,4369,1115000,1115000,171507712,2662,2662,1115000,45000,0
107,234,17,0,4369,1120000,1120000,172032000,2670,2670,1120000,45000,0
108,235,17,0,4369,1125000,1125000,173015040,2685,2685,1125000,45000,0
109,236,17,0,4369,1135000,1135000,173473792,2692,2692,1135000,45000,0
110,237,17,0,4369,1140000,1140000,173998080,2700,2700,1140000,45000,0
111,238,17,0,4369,1145000,1145000,174456832,2707,2707,1145000,45000,0
112,239,17,0,4369,1150000,1150000,174981120,2715,2715,1150000,45000,0
113,240,17,0,4369,1160000,1160000,175439872,2722,2722,1160000,45000,0
114,241,17,0,4369,1165000,1165000,176422912,2737,2737,1165000,45000,0
115,242,17,0,4369,1170000,1170000,176947200,2745,2745,1170000,45000,0
116,243,17,0,4369,1175000,1175000,177405952,2752,2752,1175000,45000,0
117,244,17,0,4369,1185000,1185000,177930240,2760,2760,1185000,45000,0
118,245,17,0,4369,1190000,1190000,178388992,2767,2767,1190000,45000,0
119,246,17,0,4369,1195000,1195000,178388992,2767,2767,1195000,45000,0
120,247,17,0,4369,1200000,1200000,178913280,2775,2775,1200000,45000,0
121,248,17,0,4369,1210000,1210000,179372032,2782,2782,1210000,45000,0
122,249,17,0,4369,1215000,1215000,179896320,2790,2790,1215000,45000,0
123,250,17,0,4369,1220000,1220000,180355072,2797,2797,1220000,45000,0
124,251,17,0,4369,1225000,1225000,180879360,2805,2805,1225000,45000,0
125,252,17,0,4369,1235000,1235000,180879360,2805,2805,1235000,45000,0
126,253,17,0,4369,1240000,1240000,181338112,2812,2812,1240000,45000,0
