point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,386,17,0,4369,450000,451000,11796480,180,180,451000,0,1000
1,387,17,0,4369,460000,461000,11796480,180,180,461000,0,1000
2,388,17,0,4369,465000,466000,14221312,217,217,466000,0,1000
3,389,17,0,4369,470000,471000,16187392,247,247,471000,0,1000
4,390,17,0,4369,475000,476000,18677760,285,285,476000,0,1000
5,391,17,0,4369,485000,486000,21102592,322,322,486000,0,1000
6,392,17,0,4369,490000,491000,23068672,352,352,491000,0,1000
7,393,17,0,4369,495000,496000,25559040,390,390,496000,0,1000
8,394,17,0,4369,500000,501000,27525120,420,420,501000,0,1000
9,395,17,0,4369,510000,511000,29949952,457,457,511000,0,1000
10,396,17,0,4369,515000,516000,31916032,487,487,516000,0,1000
11,397,17,0,4369,520000,521000,33882112,517,517,521000,0,1000
12,398,17,0,4369,525000,526000,36372480,555,555,526000,0,1000
13,399,17,0,4369,535000,536000,38338560,585,585,536000,0,1000
14,400,17,0,4369,540000,541000,40304640,615,615,541000,0,1000
15,401,17,0,4369,545000,546000,42270720,645,645,546000,0,1000
16,402,17,0,4369,550000,551000,43712512,667,667,551000,0,1000
17,403,17,0,4369,560000,561000,45678592,697,697,561000,0,1000
18,404,17,0,4369,565000,566000,47644672,727,727,566000,0,1000
19,405,17,0,4369,570000,571000,49152000,750,750,571000,0,1000
20,406,17,0,4369,575000,576000,51118080,780,780,576000,0,1000
21,407,17,0,4369,585000,586000,53084160,810,810,586000,0,1000
22,408,17,0,4369,590000,591000,54525952,832,832,591000,0,1000
23,409,17,0,4369,595000,596000,56492032,862,862,596000,0,1000
24,410,17,0,4369,600000,601000,58458112,892,892,601000,0,1000
25,411,17,0,4369,610000,611000,59965440,915,915,611000,0,1000
26,412,17,0,4369,615000,616000,61931520,945,945,616000,0,1000
27,413,17,0,4369,620000,621000,63897600,975,975,621000,0,1000
28,414,17,0,4369,625000,626000,65863680,1005,1005,626000,0,1000
29,415,17,0,4369,635000,636000,67829760,1035,1035,636000,0,1000
30,416,17,0,4369,640000,641000,69271552,1057,1057,641000,0,1000
31,417,17,0,4369,645000,646000,71237632,1087,1087,646000,0,1000
32,418,17,0,4369,650000,651000,73203712,1117,1117,651000,0,1000
33,419,17,0,4369,660000,661000,75169792,1147,1147,661000,0,1000
34,420,17,0,4369,665000,666000,77135872,1177,1177,666000,0,1000
35,421,17,0,4369,670000,671000,79101952,1207,1207,671000,0,1000
36,422,17,0,4369,675000,676000,81068032,1237,1237,676000,0,1000
37,423,17,0,4369,685000,686000,83034112,1267,1267,686000,0,1000
38,424,17,0,4369,690000,691000,85000192,1297,1297,691000,0,1000
39,425,17,0,4369,695000,696000,86966272,1327,1327,696000,0,1000
40,426,17,0,4369,700000,701000,88932352,1357,1357,701000,0,1000
41,427,17,0,4369,710000,711000,90439680,1380,1380,711000,0,1000
42,428,17,0,4369,715000,716000,91881472,1402,1402,716000,0,1000
43,429,17,0,4369,720000,721000,93388800,1425,1425,721000,0,1000
44,430,17,0,4369,725000,726000,94830592,1447,1447,726000,0,1000
45,431,17,0,4369,735000,736000,96337920,1470,1470,736000,0,1000
46,432,17,0,4369,740000,741000,97779712,1492,1492,741000,0,1000
47,433,17,0,4369,745000,746000,99287040,1515,1515,746000,0,1000
48,434,17,0,4369,750000,751000,99287040,1515,1515,751000,0,1000
49,435,17,0,4369,760000,761000,100728832,1537,1537,761000,0,1000
50,436,17,0,4369,765000,766000,102694912,1567,1567,766000,0,1000
51,437,17,0,4369,770000,771000,104202240,1590,1590,771000,0,1000
52,438,17,0,4369,775000,776000,105644032,1612,1612,776000,0,1000
53,439,17,0,4369,785000,786000,107151360,1635,1635,786000,0,1000
54,440,17,0,4369,790000,791000,108593152,1657,1657,791000,0,1000
55,441,17,0,4369,795000,796000,110559232,1687,1687,796000,0,1000
56,442,17,0,4369,800000,801000,112066560,1710,1710,801000,0,1000
57,443,17,0,4369,810000,811000,113508352,1732,1732,811000,0,1000
58,444,17,0,4369,815000,816000,115015680,1755,1755,816000,0,1000
59,445,17,0,4369,820000,821000,116457472,1777,1777,821000,0,1000
60,446,17,0,4369,825000,826000,117964800,1800,1800,826000,0,1000
61,447,17,0,4369,835000,836000,119406592,1822,1822,836000,0,1000
62,448,17,0,4369,840000,841000,120913920,1845,1845,841000,0,1000
63,449,17,0,4369,845000,846000,122355712,1867,1867,846000,0,1000
64,450,17,0,4369,850000,851000,123863040,1890,1890,851000,0,1000
65,451,17,0,4369,860000,861000,125304832,1912,1912,861000,0,1000
66,452,17,0,4369,865000,866000,126287872,1927,1927,866000,0,1000
67,453,17,0,4369,870000,871000,127795200,1950,1950,871000,0,1000
68,454,17,0,4369,875000,876000,129236992,1972,1972,876000,0,1000
69,455,17,0,4369,885000,886000,130220032,1987,1987,886000,0,1000
70,456,17,0,4369,890000,891000,131727360,2010,2010,891000,0,1000
71,457,17,0,4369,895000,896000,133169152,2032,2032,896000,0,1000
72,458,17,0,4369,900000,901000,134152192,2047,2047,901000,0,1000
73,459,17,0,4369,910000,911000,135659520,2070,2070,911000,0,1000
74,460,17,0,4369,915000,916000,136642560,2085,2085,916000,0,1000
75,461,17,0,4369,920000,921000,138084352,2107,2107,921000,0,1000
76,462,17,0,4369,925000,926000,139067392,2122,2122,926000,0,1000
77,463,17,0,4369,935000,936000,140574720,2145,2145,936000,0,1000
78,464,17,0,4369,940000,941000,141557760,2160,2160,941000,0,1000
79,465,17,0,4369,945000,946000,142540800,2175,2175,946000,0,1000
80,466,17,0,4369,950000,951000,143982592,2197,2197,951000,0,1000
81,467,17,0,4369,960000,961000,144965632,2212,2212,961000,0,1000
82,468,17,0,4369,965000,966000,145948672,2227,2227,966000,0,1000
83,469,17,0,4369,970000,971000,146931712,2242,2242,971000,0,1000
84,470,17,0,4369,975000,976000,147914752,2257,2257,976000,0,1000
85,471,17,0,4369,985000,986000,149422080,2280,2280,986000,0,1000
86,472,17,0,4369,990000,991000,150405120,2295,2295,991000,0,1000
87,473,17,0,4369,995000,996000,151388160,2310,2310,996000,0,1000
88,474,17,0,4369,1000000,1001000,151846912,2317,2317,1001000,0,1000
89,475,17,0,4369,1010000,1011000,152829952,2332,2332,1011000,0,1000
90,476,17,0,4369,1015000,1016000,153812992,2347,2347,1016000,0,1000
91,477,17,0,4369,1020000,1021000,154796032,2362,2362,1021000,0,1000
92,478,17,0,4369,1025000,1026000,155779072,2377,2377,1026000,0,1000
93,479,17,0,4369,1035000,1036000,156762112,2392,2392,1036000,0,1000
94,480,17,0,4369,1040000,1041000,157286400,2400,2400,1041000,0,1000
95,481,17,0,4369,1045000,1046000,158269440,2415,2415,1046000,0,1000
96,482,17,0,4369,1050000,1051000,159252480,2430,2430,1051000,0,1000
97,483,17,0,4369,1060000,1061000,160235520,2445,2445,1061000,0,1000
98,484,17,0,4369,1065000,1066000,160694272,2452,2452,1066000,0,1000
99,485,17,0,4369,1070000,1071000,161677312,2467,2467,1071000,0,1000
100,486,17,0,4369,1075000,1076000,162660352,2482,2482,1076000,0,1000
101,487,17,0,4369,1085000,1086000,163184640,2490,2490,1086000,0,1000
102,488,17,0,4369,1090000,1091000,164167680,2505,2505,1091000,0,1000
103,489,17,0,4369,1095000,1096000,164626432,2512,2512,1096000,0,1000
104,490,17,0,4369,1100000,1101000,165609472,2527,2527,1101000,0,1000
105,491,17,0,4369,1110000,1111000,166133760,2535,2535,1111000,0,1000
106,492,17,0,4369,1115000,1116000,167116800,2550,2550,1116000,0,1000
107,493,17,0,4369,1120000,1121000,167575552,2557,2557,1121000,0,1000
108,494,17,0,4369,1125000,1126000,168099840,2565,2565,1126000,0,1000
109,495,17,0,4369,1135000,1136000,169082880,2580,2580,1136000,0,1000
110,496,17,0,4369,1140000,1141000,169541632,2587,2587,1141000,0,1000
111,497,17,0,4369,1145000,1146000,170065920,2595,2595,1146000,0,1000
112,498,17,0,4369,1150000,1151000,171048960,2610,2610,1151000,0,1000
113,499,17,0,4369,1160000,1161000,171507712,2617,2617,1161000,0,1000
114,500,17,0,4369,1165000,1166000,172032000,2625,2625,1166000,0,1000
115,501,17,0,4369,1170000,1171000,172490752,2632,2632,1171000,0,1000
