point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,259,17,0,4369,450000,451000,11796480,180,180,451000,0,1000
1,260,17,0,4369,460000,461000,16187392,247,247,461000,0,1000
2,261,17,0,4369,465000,466000,18153472,277,277,466000,0,1000
3,262,17,0,4369,470000,471000,20643840,315,315,471000,0,1000
4,263,17,0,4369,475000,476000,22609920,345,345,476000,0,1000
5,264,17,0,4369,485000,486000,25034752,382,382,486000,0,1000
6,265,17,0,4369,490000,491000,27000832,412,412,491000,0,1000
7,266,17,0,4369,495000,496000,28966912,442,442,496000,0,1000
8,267,17,0,4369,500000,501000,31457280,480,480,501000,0,1000
9,268,17,0,4369,510000,511000,33423360,510,510,511000,0,1000
10,269,17,0,4369,515000,516000,35389440,540,540,516000,0,1000
11,270,17,0,4369,520000,521000,37814272,577,577,521000,0,1000
12,271,17,0,4369,525000,526000,39780352,607,607,526000,0,1000
13,272,17,0,4369,535000,536000,41746432,637,637,536000,0,1000
14,273,17,0,4369,540000,541000,43712512,667,667,541000,0,1000
15,274,17,0,4369,545000,546000,45678592,697,697,546000,0,1000
16,275,17,0,4369,550000,551000,47644672,727,727,551000,0,1000
17,276,17,0,4369,560000,561000,49610752,757,757,561000,0,1000
18,277,17,0,4369,565000,566000,51576832,787,787,566000,0,1000
19,278,17,0,4369,570000,571000,53542912,817,817,571000,0,1000
20,279,17,0,4369,575000,576000,56033280,855,855,576000,0,1000
21,280,17,0,4369,585000,586000,57999360,885,885,586000,0,1000
22,281,17,0,4369,590000,591000,59965440,915,915,591000,0,1000
23,282,17,0,4369,595000,596000,61931520,945,945,596000,0,1000
24,283,17,0,4369,600000,601000,63373312,967,967,601000,0,1000
25,284,17,0,4369,610000,611000,65339392,997,997,611000,0,1000
26,285,17,0,4369,615000,616000,67305472,1027,1027,616000,0,1000
27,286,17,0,4369,620000,621000,69271552,1057,1057,621000,0,1000
28,287,17,0,4369,625000,626000,71237632,1087,1087,626000,0,1000
29,288,17,0,4369,635000,636000,73203712,1117,1117,636000,0,1000
30,289,17,0,4369,640000,641000,75169792,1147,1147,641000,0,1000
31,290,17,0,4369,645000,646000,76677120,1170,1170,646000,0,1000
32,291,17,0,4369,650000,651000,78643200,1200,1200,651000,0,1000
33,292,17,0,4369,660000,661000,80609280,1230,1230,661000,0,1000
34,293,17,0,4369,665000,666000,82051072,1252,1252,666000,0,1000
35,294,17,0,4369,670000,671000,84017152,1282,1282,671000,0,1000
36,295,17,0,4369,675000,676000,85983232,1312,1312,676000,0,1000
37,296,17,0,4369,685000,686000,87490560,1335,1335,686000,0,1000
38,297,17,0,4369,690000,691000,89456640,1365,1365,691000,0,1000
39,298,17,0,4369,695000,696000,90898432,1387,1387,696000,0,1000
40,299,17,0,4369,700000,701000,92864512,1417,1417,701000,0,1000
41,300,17,0,4369,710000,711000,94371840,1440,1440,711000,0,1000
42,301,17,0,4369,715000,716000,95813632,1462,1462,716000,0,1000
43,302,17,0,4369,720000,721000,97779712,1492,1492,721000,0,1000
44,303,17,0,4369,725000,726000,99287040,1515,1515,726000,0,1000
45,304,17,0,4369,735000,736000,100728832,1537,1537,736000,0,1000
46,305,17,0,4369,740000,741000,102694912,1567,1567,741000,0,1000
47,306,17,0,4369,745000,746000,104202240,1590,1590,746000,0,1000
48,307,17,0,4369,750000,751000,105644032,1612,1612,751000,0,1000
49,308,17,0,4369,760000,761000,107151360,1635,1635,761000,0,1000
50,309,17,0,4369,765000,766000,109117440,1665,1665,766000,0,1000
51,310,17,0,4369,770000,771000,110559232,1687,1687,771000,0,1000
52,311,17,0,4369,775000,776000,112066560,1710,1710,776000,0,1000
53,312,17,0,4369,785000,786000,114032640,1740,1740,786000,0,1000
54,313,17,0,4369,790000,791000,115474432,1762,1762,791000,0,1000
55,314,17,0,4369,795000,796000,116981760,1785,1785,796000,0,1000
56,315,17,0,4369,800000,801000,118423552,1807,1807,801000,0,1000
57,316,17,0,4369,810000,811000,120389632,1837,1837,811000,0,1000
58,317,17,0,4369,815000,816000,121896960,1860,1860,816000,0,1000
59,318,17,0,4369,820000,821000,123338752,1882,1882,821000,0,1000
60,319,17,0,4369,825000,826000,124846080,1905,1905,826000,0,1000
61,320,17,0,4369,835000,836000,126287872,1927,1927,836000,0,1000
62,321,17,0,4369,840000,841000,127795200,1950,1950,841000,0,1000
63,322,17,0,4369,845000,846000,129236992,1972,1972,846000,0,1000
64,323,17,0,4369,850000,851000,130744320,1995,1995,851000,0,1000
65,324,17,0,4369,860000,861000,132186112,2017,2017,861000,0,1000
66,325,17,0,4369,865000,866000,133169152,2032,2032,866000,0,1000
67,326,17,0,4369,870000,871000,134676480,2055,2055,871000,0,1000
68,327,17,0,4369,875000,876000,136118272,2077,2077,876000,0,1000
69,328,17,0,4369,885000,886000,137625600,2100,2100,886000,0,1000
70,329,17,0,4369,890000,891000,138608640,2115,2115,891000,0,1000
71,330,17,0,4369,895000,896000,140050432,2137,2137,896000,0,1000
72,331,17,0,4369,900000,901000,141557760,2160,2160,901000,0,1000
73,332,17,0,4369,910000,911000,142540800,2175,2175,911000,0,1000
74,333,17,0,4369,915000,916000,143982592,2197,2197,916000,0,1000
75,334,17,0,4369,920000,921000,144965632,2212,2212,921000,0,1000
76,335,17,0,4369,925000,926000,146472960,2235,2235,926000,0,1000
77,336,17,0,4369,935000,936000,147456000,2250,2250,936000,0,1000
78,337,17,0,4369,940000,941000,148897792,2272,2272,941000,0,1000
79,338,17,0,4369,945000,946000,149880832,2287,2287,946000,0,1000
80,339,17,0,4369,950000,951000,150863872,2302,2302,951000,0,1000
81,340,17,0,4369,960000,961000,152371200,2325,2325,961000,0,1000
82,341,17,0,4369,965000,966000,153354240,2340,2340,966000,0,1000
83,342,17,0,4369,970000,971000,154337280,2355,2355,971000,0,1000
84,343,17,0,4369,975000,976000,155779072,2377,2377,976000,0,1000
85,344,17,0,4369,985000,986000,156762112,2392,2392,986000,0,1000
86,345,17,0,4369,990000,991000,157745152,2407,2407,991000,0,1000
87,346,17,0,4369,995000,996000,158728192,2422,2422,996000,0,1000
88,347,17,0,4369,1000000,1001000,159252480,2430,2430,1001000,0,1000
89,348,17,0,4369,1010000,1011000,160235520,2445,2445,1011000,0,1000
90,349,17,0,4369,1015000,1016000,161218560,2460,2460,1016000,0,1000
91,350,17,0,4369,1020000,1021000,162201600,2475,2475,1021000,0,1000
92,351,17,0,4369,1025000,1026000,163184640,2490,2490,1026000,0,1000
93,352,17,0,4369,1035000,1036000,164167680,2505,2505,1036000,0,1000
94,353,17,0,4369,1040000,1041000,165150720,2520,2520,1041000,0,1000
95,354,17,0,4369,1045000,1046000,165609472,2527,2527,1046000,0,1000
96,355,17,0,4369,1050000,1051000,166592512,2542,2542,1051000,0,1000
97,356,17,0,4369,1060000,1061000,167575552,2557,2557,1061000,0,1000
98,357,17,0,4369,1065000,1066000,168558592,2572,2572,1066000,0,1000
99,358,17,0,4369,1070000,1071000,169082880,2580,2580,1071000,0,1000
100,359,17,0,4369,1075000,1076000,170065920,2595,2595,1076000,0,1000
101,360,17,0,4369,1085000,1086000,171048960,2610,2610,1086000,0,1000
102,361,17,0,4369,1090000,1091000,171507712,2617,2617,1091000,0,1000
103,362,17,0,4369,1095000,1096000,172490752,2632,2632,1096000,0,1000
104,363,17,0,4369,1100000,1101000,173015040,2640,2640,1101000,0,1000
105,364,17,0,4369,1110000,1111000,173998080,2655,2655,1111000,0,1000
106,365,17,0,4369,1115000,1116000,174456832,2662,2662,1116000,0,1000
107,366,17,0,4369,1120000,1121000,175439872,2677,2677,1121000,0,1000
108,367,17,0,4369,1125000,1126000,175964160,2685,2685,1126000,0,1000
109,368,17,0,4369,1135000,1136000,176947200,2700,2700,1136000,0,1000
110,369,17,0,4369,1140000,1141000,177405952,2707,2707,1141000,0,1000
111,370,17,0,4369,1145000,1146000,177930240,2715,2715,1146000,0,1000
112,371,17,0,4369,1150000,1151000,178913280,2730,2730,1151000,0,1000
113,372,17,0,4369,1160000,1161000,179372032,2737,2737,1161000,0,1000
114,373,17,0,4369,1165000,1166000,179896320,2745,2745,1166000,0,1000
115,374,17,0,4369,1170000,1171000,180355072,2752,2752,1171000,0,1000
116,375,17,0,4369,1175000,1176000,181338112,2767,2767,1176000,0,1000
117,376,17,0,4369,1185000,1186000,181862400,2775,2775,1186000,0,1000
118,377,17,0,4369,1190000,1191000,182321152,2782,2782,1191000,0,1000
119,378,17,0,4369,1195000,1196000,182845440,2790,2790,1196000,0,1000
120,379,17,0,4369,1200000,1201000,183304192,2797,2797,1201000,0,1000
121,380,17,0,4369,1210000,1211000,183828480,2805,2805,1211000,0,1000
122,381,17,0,4369,1215000,1216000,184287232,2812,2812,1216000,0,1000
123,382,17,0,4369,1220000,1221000,184811520,2820,2820,1221000,0,1000
124,383,17,0,4369,1225000,1226000,185270272,2827,2827,1226000,0,1000
125,384,17,0,4369,1235000,1236000,185794560,2835,2835,1236000,0,1000
126,385,17,0,4369,1240000,1241000,186253312,2842,2842,1241000,0,1000
