point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,0,17,0,4369,450000,450000,11796480,225,225,450000,45000,0
1,1,17,0,4369,460000,460000,11796480,225,225,460000,45000,0
2,2,17,0,4369,465000,465000,11796480,225,225,465000,45000,0
3,3,17,0,4369,470000,470000,11796480,225,225,470000,45000,0
4,4,17,0,4369,475000,475000,11796480,225,225,475000,45000,0
5,5,17,0,4369,485000,485000,11796480,225,225,485000,45000,0
6,6,17,0,4369,490000,490000,11796480,225,225,490000,45000,0
7,7,17,0,4369,495000,495000,11796480,225,225,495000,45000,0
8,8,17,0,4369,500000,500000,11796480,225,225,500000,45000,0
9,9,17,0,4369,510000,510000,11796480,225,225,510000,45000,0
10,10,17,0,4369,515000,515000,11796480,225,225,515000,45000,0
11,11,17,0,4369,520000,520000,11796480,225,225,520000,45000,0
12,12,17,0,4369,525000,525000,11796480,225,225,525000,45000,0
13,13,17,0,4369,535000,535000,11796480,225,225,535000,45000,0
14,14,17,0,4369,540000,540000,11796480,225,225,540000,45000,0
15,15,17,0,4369,545000,545000,11796480,225,225,545000,45000,0
16,16,17,0,4369,550000,550000,11796480,225,225,550000,45000,0
17,17,17,0,4369,560000,560000,11796480,225,225,560000,45000,0
18,18,17,0,4369,565000,565000,11796480,225,225,565000,45000,0
19,19,17,0,4369,570000,570000,11796480,225,225,570000,45000,0
20,20,17,0,4369,575000,575000,11796480,225,225,575000,45000,0
21,21,17,0,4369,585000,585000,11796480,225,225,585000,45000,0
22,22,17,0,4369,590000,590000,11796480,225,225,590000,45000,0
23,23,17,0,4369,595000,595000,11796480,225,225,595000,45000,0
24,24,17,0,4369,600000,600000,11796480,225,225,600000,45000,0
25,25,17,0,4369,610000,610000,11796480,225,225,610000,45000,0
26,26,17,0,4369,615000,615000,11796480,225,225,615000,45000,0
27,27,17,0,4369,620000,620000,11796480,225,225,620000,45000,0
28,28,17,0,4369,625000,625000,11796480,225,225,625000,45000,0
29,29,17,0,4369,635000,635000,11796480,225,225,635000,45000,0
30,30,17,0,4369,640000,640000,11796480,225,225,640000,45000,0
31,31,17,0,4369,645000,645000,11796480,225,225,645000,45000,0
32,32,17,0,4369,650000,650000,11796480,225,225,650000,45000,0
33,33,17,0,4369,660000,660000,11796480,225,225,660000,45000,0
34,34,17,0,4369,665000,665000,11796480,225,225,665000,45000,0
35,35,17,0,4369,670000,670000,11796480,225,225,670000,45000,0
36,36,17,0,4369,675000,675000,11796480,225,225,675000,45000,0
37,37,17,0,4369,685000,685000,11796480,225,225,685000,45000,0
38,38,17,0,4369,690000,690000,11796480,225,225,690000,45000,0
39,39,17,0,4369,695000,695000,11796480,225,225,695000,45000,0
40,40,17,0,4369,700000,700000,11796480,225,225,700000,45000,0
41,41,17,0,4369,710000,710000,11796480,225,225,710000,45000,0
42,42,17,0,4369,715000,715000,11796480,225,225,715000,45000,0
43,43,17,0,4369,720000,720000,11796480,225,225,720000,45000,0
44,44,17,0,4369,725000,725000,11796480,225,225,725000,45000,0
45,45,17,0,4369,735000,735000,11796480,225,225,735000,45000,0
46,46,17,0,4369,740000,740000,11796480,225,225,740000,45000,0
47,47,17,0,4369,745000,745000,11796480,225,225,745000,45000,0
48,48,17,0,4369,750000,750000,11796480,225,225,750000,45000,0
49,49,17,0,4369,760000,760000,11796480,225,225,760000,45000,0
50,50,17,0,4369,765000,765000,11796480,225,225,765000,45000,0
51,51,17,0,4369,770000,770000,13238272,247,247,770000,45000,0
52,52,17,0,4369,775000,775000,18677760,330,330,775000,45000,0
53,53,17,0,4369,785000,785000,24576000,420,420,785000,45000,0
54,54,17,0,4369,790000,790000,29949952,502,502,790000,45000,0
55,55,17,0,4369,795000,795000,35848192,592,592,795000,45000,0
56,56,17,0,4369,800000,800000,41287680,675,675,800000,45000,0
57,57,17,0,4369,810000,810000,46661632,802,802,810000,90000,0
58,58,17,0,4369,815000,815000,52559872,1192,1192,815000,390000,0
59,59,17,0,4369,820000,820000,57999360,1582,1582,820000,697000,0
60,60,17,0,4369,825000,825000,63897600,1972,1972,825000,997000,0
61,61,17,0,4369,835000,835000,69271552,1972,1972,835000,915000,0
62,62,17,0,4369,840000,840000,75169792,2137,2137,840000,990000,0
63,63,17,0,4369,845000,845000,80609280,2137,2137,845000,907000,0
64,64,17,0,4369,850000,850000,86507520,2317,2317,850000,997000,0
