point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,259,17,0,4369,450000,450000,11796480,180,180,450000,0,0
1,260,17,0,4369,460000,460000,16187392,247,247,460000,0,0
2,261,17,0,4369,465000,465000,18153472,277,277,465000,0,0
3,262,17,0,4369,470000,470000,20643840,315,315,470000,0,0
4,263,17,0,4369,475000,475000,22609920,345,345,475000,0,0
5,264,17,0,4369,485000,485000,25034752,382,382,485000,0,0
6,265,17,0,4369,490000,490000,27000832,412,412,490000,0,0
7,266,17,0,4369,495000,495000,28966912,442,442,495000,0,0
8,267,17,0,4369,500000,500000,31457280,480,480,500000,0,0
9,268,17,0,4369,510000,510000,33423360,510,510,510000,0,0
10,269,17,0,4369,515000,515000,35389440,540,540,515000,0,0
11,270,17,0,4369,520000,520000,37814272,577,577,520000,0,0
12,271,17,0,4369,525000,525000,39780352,607,607,525000,0,0
13,272,17,0,4369,535000,535000,41746432,637,637,535000,0,0
14,273,17,0,4369,540000,540000,43712512,667,667,540000,0,0
15,274,17,0,4369,545000,545000,45678592,697,697,545000,0,0
16,275,17,0,4369,550000,550000,47644672,727,727,550000,0,0
17,276,17,0,4369,560000,560000,49610752,757,757,560000,0,0
18,277,17,0,4369,565000,565000,51576832,787,787,565000,0,0
19,278,17,0,4369,570000,570000,53542912,817,817,570000,0,0
20,279,17,0,4369,575000,575000,56033280,855,855,575000,0,0
21,280,17,0,4369,585000,585000,57999360,885,885,585000,0,0
22,281,17,0,4369,590000,590000,59965440,915,915,590000,0,0
23,282,17,0,4369,595000,595000,61931520,945,945,595000,0,0
24,283,17,0,4369,600000,600000,63373312,967,967,600000,0,0
25,284,17,0,4369,610000,610000,65339392,997,997,610000,0,0
26,285,17,0,4369,615000,615000,67305472,1027,1027,615000,0,0
27,286,17,0,4369,620000,620000,69271552,1057,1057,620000,0,0
28,287,17,0,4369,625000,625000,71237632,1087,1087,625000,0,0
29,288,17,0,4369,635000,635000,73203712,1117,1117,635000,0,0
30,289,17,0,4369,640000,640000,75169792,1147,1147,640000,0,0
31,290,17,0,4369,645000,645000,76677120,1170,1170,645000,0,0
32,291,17,0,4369,650000,650000,78643200,1200,1200,650000,0,0
33,292,17,0,4369,660000,660000,80609280,1230,1230,660000,0,0
34,293,17,0,4369,665000,665000,82051072,1252,1252,665000,0,0
35,294,17,0,4369,670000,670000,84017152,1282,1282,670000,0,0
36,295,17,0,4369,675000,675000,85983232,1312,1312,675000,0,0
37,296,17,0,4369,685000,685000,87490560,1335,1335,685000,0,0
38,297,17,0,4369,690000,690000,89456640,1365,1365,690000,0,0
39,298,17,0,4369,695000,695000,90898432,1387,1387,695000,0,0
40,299,17,0,4369,700000,700000,92864512,1417,1417,700000,0,0
41,300,17,0,4369,710000,710000,94371840,1440,1440,710000,0,0
42,301,17,0,4369,715000,715000,95813632,1462,1462,715000,0,0
43,302,17,0,4369,720000,720000,97779712,1492,1492,720000,0,0
44,303,17,0,4369,725000,725000,99287040,1515,1515,725000,0,0
45,304,17,0,4369,735000,735000,100728832,1537,1537,735000,0,0
46,305,17,0,4369,740000,740000,102694912,1567,1567,740000,0,0
47,306,17,0,4369,745000,745000,104202240,1590,1590,745000,0,0
48,307,17,0,4369,750000,750000,105644032,1612,1612,750000,0,0
49,308,17,0,4369,760000,760000,107151360,1635,1635,760000,0,0
50,309,17,0,4369,765000,765000,109117440,1665,1665,765000,0,0
51,310,17,0,4369,770000,770000,110559232,1687,1687,770000,0,0
52,311,17,0,4369,775000,775000,112066560,1710,1710,775000,0,0
53,312,17,0,4369,785000,785000,114032640,1740,1740,785000,0,0
54,313,17,0,4369,790000,790000,115474432,1762,1762,790000,0,0
55,314,17,0,4369,795000,795000,116981760,1785,1785,795000,0,0
56,315,17,0,4369,800000,800000,118423552,1807,1807,800000,0,0
57,316,17,0,4369,810000,810000,120389632,1837,1837,810000,0,0
58,317,17,0,4369,815000,815000,121896960,1860,1860,815000,0,0
59,318,17,0,4369,820000,820000,123338752,1882,1882,820000,0,0
60,319,17,0,4369,825000,825000,124846080,1905,1905,825000,0,0
61,320,17,0,4369,835000,835000,126287872,1927,1927,835000,0,0
