point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
0,127,17,0,4369,450000,451000,11796480,225,225,451000,45000,1000
1,128,17,0,4369,460000,461000,17694720,315,315,461000,45000,1000
2,129,17,0,4369,465000,466000,19660800,345,345,466000,45000,1000
3,130,17,0,4369,470000,471000,21626880,375,375,471000,45000,1000
4,131,17,0,4369,475000,476000,23068672,397,397,476000,45000,1000
5,132,17,0,4369,485000,486000,25034752,427,427,486000,45000,1000
6,133,17,0,4369,490000,491000,27000832,457,457,491000,45000,1000
7,134,17,0,4369,495000,496000,28966912,487,487,496000,45000,1000
8,135,17,0,4369,500000,501000,30932992,517,517,501000,45000,1000
9,136,17,0,4369,510000,511000,32899072,547,547,511000,45000,1000
10,137,17,0,4369,515000,516000,34865152,577,577,516000,45000,1000
11,138,17,0,4369,520000,521000,36831232,607,607,521000,45000,1000
12,139,17,0,4369,525000,526000,38797312,637,637,526000,45000,1000
13,140,17,0,4369,535000,536000,40304640,660,660,536000,45000,1000
14,141,17,0,4369,540000,541000,42270720,690,690,541000,45000,1000
15,142,17,0,4369,545000,546000,44236800,720,720,546000,45000,1000
16,143,17,0,4369,550000,551000,46202880,750,750,551000,45000,1000
17,144,17,0,4369,560000,561000,48168960,780,780,561000,45000,1000
18,145,17,0,4369,565000,566000,49610752,802,802,566000,45000,1000
19,146,17,0,4369,570000,571000,51576832,832,832,571000,45000,1000
20,147,17,0,4369,575000,576000,53542912,862,862,576000,45000,1000
21,148,17,0,4369,585000,586000,55508992,892,892,586000,45000,1000
22,149,17,0,4369,590000,591000,57475072,922,922,591000,45000,1000
23,150,17,0,4369,595000,596000,58982400,945,945,596000,45000,1000
24,151,17,0,4369,600000,601000,60948480,975,975,601000,45000,1000
25,152,17,0,4369,610000,611000,62914560,1005,1005,611000,45000,1000
26,153,17,0,4369,615000,616000,64356352,1027,1027,616000,45000,1000
27,154,17,0,4369,620000,621000,66322432,1057,1057,621000,45000,1000
28,155,17,0,4369,625000,626000,68288512,1087,1087,626000,45000,1000
29,156,17,0,4369,635000,636000,69795840,1110,1110,636000,45000,1000
30,157,17,0,4369,640000,641000,71761920,1140,1140,641000,45000,1000
31,158,17,0,4369,645000,646000,73728000,1170,1170,646000,45000,1000
32,159,17,0,4369,650000,651000,75169792,1192,1192,651000,45000,1000
33,160,17,0,4369,660000,661000,77135872,1222,1222,661000,45000,1000
34,161,17,0,4369,665000,666000,78643200,1245,1245,666000,45000,1000
